tilt_change,shoulder_change,ratio_change,label
0.14,0.42,0.001,good
0.47,0.45,0.007,good
0.11,0.97,0.019,good
1.64,0.07,0.047,good
0.08,0.25,0.017,good
0.03,0.1,0.004,good
0.26,0.26,0.017,good
0.93,0.01,0.019,good
0.74,0.36,0.02,good
0.16,0.43,0.026,good
0.09,0.53,0.021,good
0.1,0.29,0.018,good
0.02,0.42,0.022,good
0.24,0.6,0.019,good
0.81,0.56,0.013,good
0.26,0.22,0.01,good
0.05,0.07,0.025,good
2.33,0.03,0.001,good
4.08,0.27,0.004,good
3.92,0.6,0.015,good
0.64,0.34,0.039,good
0.49,0.3,0.003,good
0.21,0.92,0.039,good
1.72,0.08,0.052,good
2.31,0.12,0.03,good
4.25,0.14,0.028,good
4.27,0.07,0.025,good
6.29,0.46,0.054,good
5.96,0.71,0.127,good
5.9,0.42,0.098,good
1.84,0.62,0.066,good
1.66,0.22,0.083,good
1.02,0.3,0.037,good
0.5,0.23,0.067,good
1.02,0.23,0.064,good
5.33,0.18,0.055,good
4.85,0.49,0.05,good
0.29,0.35,0.073,good
0.14,0.51,0.048,good
0.39,0.21,0.059,good
0.24,0.42,0.036,good
0.21,0.39,0.047,good
0.37,0.17,0.065,good
0.14,0.49,0.066,good
0.07,0.58,0.077,good
1,0.88,0.063,good
1,0.22,0.093,good
0.78,0.72,0.086,good
1.64,1.46,0.12,good
1.82,1.6,0.1,good
0.21,1.66,0.025,good
0.34,2.35,0.003,good
1.26,1.89,0.023,good
1.81,1.26,0.006,good
0.03,0.2,0.024,good
0.37,0.22,0.016,good
0.1,0.18,0.019,good
2.03,0.56,0.032,good
2.19,0.15,0.043,good
0.35,0.56,0.042,good
0.23,1.37,0.009,good
0.82,0.92,0.021,good
0.96,1.32,0.042,good
0.84,1.18,0.07,good
0.06,0.83,0.11,good
0.52,0.57,0.076,good
0.78,1.18,0.005,good
0.86,0.76,0.029,good
1.35,1.38,0.011,good
0.57,1.23,0.008,good
0.18,1.33,0.04,good
1.35,0.03,0.019,good
0.03,1.22,0.044,good
3.33,0.71,0.017,good
0.27,0.09,0.069,good
0.44,0.12,0.005,good
0.18,0.19,0.043,good
0.75,0.42,0.012,good
0.62,0.46,0.073,good
0.84,0.56,0.026,good
0.49,0.94,0.003,good
0.14,0.24,0.099,good
0.15,0.24,0.06,good
0.09,0.41,0.043,good
2.75,0.41,0.06,good
2.83,0.19,0.037,good
1.14,0.22,0.032,good
1.09,0.28,0.024,good
0.31,0.18,0.014,good
